"Series Code","Topic","Indicator Name","Short definition","Long definition","Unit of measure","Periodicity","Base Period","Other notes","Aggregation method","Limitations and exceptions","Notes from original source","General comments","Source","Statistical concept and methodology","Development relevance","Related source links","Other web links","Related indicators","License Type",
"SH.FPL.UWTD.Q2.ZS","Quintile: Health","Fertility planning status (wanted no more) (% of births): Q2","","Fertility planning status: Percentage of births in the five years preceding the survey which are planned (wanted then), mistimed (wanted later), and unplanned (wanted no more).","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.FPL.UWTD.Q3.ZS","Quintile: Health","Fertility planning status (wanted no more) (% of births): Q3","","Fertility planning status: Percentage of births in the five years preceding the survey which are planned (wanted then), mistimed (wanted later), and unplanned (wanted no more).","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.FPL.UWTD.Q4.ZS","Quintile: Health","Fertility planning status (wanted no more) (% of births): Q4","","Fertility planning status: Percentage of births in the five years preceding the survey which are planned (wanted then), mistimed (wanted later), and unplanned (wanted no more).","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.FPL.UWTD.Q5.ZS","Quintile: Health","Fertility planning status (wanted no more) (% of births): Q5 (highest)","","Fertility planning status: Percentage of births in the five years preceding the survey which are planned (wanted then), mistimed (wanted later), and unplanned (wanted no more).","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.FPL.WNTD.Q1.ZS","Quintile: Health","Fertility planning status (wanted then) (% of births): Q1 (lowest)","","Fertility planning status: Percentage of births in the five years preceding the survey which are planned (wanted then), mistimed (wanted later), and unplanned (wanted no more).","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.FPL.WNTD.Q2.ZS","Quintile: Health","Fertility planning status (wanted then) (% of births): Q2","","Fertility planning status: Percentage of births in the five years preceding the survey which are planned (wanted then), mistimed (wanted later), and unplanned (wanted no more).","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.FPL.WNTD.Q3.ZS","Quintile: Health","Fertility planning status (wanted then) (% of births): Q3","","Fertility planning status: Percentage of births in the five years preceding the survey which are planned (wanted then), mistimed (wanted later), and unplanned (wanted no more).","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.FPL.WNTD.Q4.ZS","Quintile: Health","Fertility planning status (wanted then) (% of births): Q4","","Fertility planning status: Percentage of births in the five years preceding the survey which are planned (wanted then), mistimed (wanted later), and unplanned (wanted no more).","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.FPL.WNTD.Q5.ZS","Quintile: Health","Fertility planning status (wanted then) (% of births): Q5 (highest)","","Fertility planning status: Percentage of births in the five years preceding the survey which are planned (wanted then), mistimed (wanted later), and unplanned (wanted no more).","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.H2O.BASW.Q1.ZS","Quintile: Health","People using at least basic drinking water services (% of population): Q1 (lowest)","","The percentage of people using at least basic water services.  This indicator encompasses both people using basic water services as well as those using safely managed water services.  Basic drinking water services is defined as drinking water from an improved source, provided collection time is not more than 30 minutes for a round trip.  Improved water sources include piped water, boreholes or tubewells, protected dug wells, protected springs, and packaged or delivered water.","","Annual","","","","","","","WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply, Sanitation and Hygiene (washdata.org).","","","","","","Open",
"SH.H2O.BASW.Q2.ZS","Quintile: Health","People using at least basic drinking water services (% of population): Q2","","The percentage of people using at least basic water services.  This indicator encompasses both people using basic water services as well as those using safely managed water services.  Basic drinking water services is defined as drinking water from an improved source, provided collection time is not more than 30 minutes for a round trip.  Improved water sources include piped water, boreholes or tubewells, protected dug wells, protected springs, and packaged or delivered water.","","Annual","","","","","","","WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply, Sanitation and Hygiene (washdata.org).","","","","","","Open",
"SH.H2O.BASW.Q3.ZS","Quintile: Health","People using at least basic drinking water services (% of population): Q3","","The percentage of people using at least basic water services.  This indicator encompasses both people using basic water services as well as those using safely managed water services.  Basic drinking water services is defined as drinking water from an improved source, provided collection time is not more than 30 minutes for a round trip.  Improved water sources include piped water, boreholes or tubewells, protected dug wells, protected springs, and packaged or delivered water.","","Annual","","","","","","","WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply, Sanitation and Hygiene (washdata.org).","","","","","","Open",
"SH.H2O.BASW.Q4.ZS","Quintile: Health","People using at least basic drinking water services (% of population): Q4","","The percentage of people using at least basic water services.  This indicator encompasses both people using basic water services as well as those using safely managed water services.  Basic drinking water services is defined as drinking water from an improved source, provided collection time is not more than 30 minutes for a round trip.  Improved water sources include piped water, boreholes or tubewells, protected dug wells, protected springs, and packaged or delivered water.","","Annual","","","","","","","WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply, Sanitation and Hygiene (washdata.org).","","","","","","Open",
"SH.H2O.BASW.Q5.ZS","Quintile: Health","People using at least basic drinking water services (% of population): Q5 (highest)","","The percentage of people using at least basic water services.  This indicator encompasses both people using basic water services as well as those using safely managed water services.  Basic drinking water services is defined as drinking water from an improved source, provided collection time is not more than 30 minutes for a round trip.  Improved water sources include piped water, boreholes or tubewells, protected dug wells, protected springs, and packaged or delivered water.","","Annual","","","","","","","WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply, Sanitation and Hygiene (washdata.org).","","","","","","Open",
"SH.H2O.BASW.RU.Q1.ZS","Quintile: Health","People using at least basic drinking water services, rural (% of rural population): Q1 (lowest)","","The percentage of people using at least basic water services.  This indicator encompasses both people using basic water services as well as those using safely managed water services.  Basic drinking water services is defined as drinking water from an improved source, provided collection time is not more than 30 minutes for a round trip.  Improved water sources include piped water, boreholes or tubewells, protected dug wells, protected springs, and packaged or delivered water.","","Annual","","","","","","","WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply, Sanitation and Hygiene (washdata.org).","","","","","","Open",
"SH.H2O.BASW.RU.Q2.ZS","Quintile: Health","People using at least basic drinking water services, rural (% of rural population): Q2","","The percentage of people using at least basic water services.  This indicator encompasses both people using basic water services as well as those using safely managed water services.  Basic drinking water services is defined as drinking water from an improved source, provided collection time is not more than 30 minutes for a round trip.  Improved water sources include piped water, boreholes or tubewells, protected dug wells, protected springs, and packaged or delivered water.","","Annual","","","","","","","WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply, Sanitation and Hygiene (washdata.org).","","","","","","Open",
"SH.H2O.BASW.RU.Q3.ZS","Quintile: Health","People using at least basic drinking water services, rural (% of rural population): Q3","","The percentage of people using at least basic water services.  This indicator encompasses both people using basic water services as well as those using safely managed water services.  Basic drinking water services is defined as drinking water from an improved source, provided collection time is not more than 30 minutes for a round trip.  Improved water sources include piped water, boreholes or tubewells, protected dug wells, protected springs, and packaged or delivered water.","","Annual","","","","","","","WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply, Sanitation and Hygiene (washdata.org).","","","","","","Open",
"SH.H2O.BASW.RU.Q4.ZS","Quintile: Health","People using at least basic drinking water services, rural (% of rural population): Q4","","The percentage of people using at least basic water services.  This indicator encompasses both people using basic water services as well as those using safely managed water services.  Basic drinking water services is defined as drinking water from an improved source, provided collection time is not more than 30 minutes for a round trip.  Improved water sources include piped water, boreholes or tubewells, protected dug wells, protected springs, and packaged or delivered water.","","Annual","","","","","","","WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply, Sanitation and Hygiene (washdata.org).","","","","","","Open",
"SH.H2O.BASW.RU.Q5.ZS","Quintile: Health","People using at least basic drinking water services, rural (% of rural population): Q5 (highest)","","The percentage of people using at least basic water services.  This indicator encompasses both people using basic water services as well as those using safely managed water services.  Basic drinking water services is defined as drinking water from an improved source, provided collection time is not more than 30 minutes for a round trip.  Improved water sources include piped water, boreholes or tubewells, protected dug wells, protected springs, and packaged or delivered water.","","Annual","","","","","","","WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply, Sanitation and Hygiene (washdata.org).","","","","","","Open",
"SH.H2O.BASW.UR.Q1.ZS","Quintile: Health","People using at least basic drinking water services, urban (% of urban population): Q1 (lowest)","","The percentage of people using at least basic water services.  This indicator encompasses both people using basic water services as well as those using safely managed water services.  Basic drinking water services is defined as drinking water from an improved source, provided collection time is not more than 30 minutes for a round trip.  Improved water sources include piped water, boreholes or tubewells, protected dug wells, protected springs, and packaged or delivered water.","","Annual","","","","","","","WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply, Sanitation and Hygiene (washdata.org).","","","","","","Open",
"SH.H2O.BASW.UR.Q2.ZS","Quintile: Health","People using at least basic drinking water services, urban (% of urban population): Q2","","The percentage of people using at least basic water services.  This indicator encompasses both people using basic water services as well as those using safely managed water services.  Basic drinking water services is defined as drinking water from an improved source, provided collection time is not more than 30 minutes for a round trip.  Improved water sources include piped water, boreholes or tubewells, protected dug wells, protected springs, and packaged or delivered water.","","Annual","","","","","","","WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply, Sanitation and Hygiene (washdata.org).","","","","","","Open",
"SH.H2O.BASW.UR.Q3.ZS","Quintile: Health","People using at least basic drinking water services, urban (% of urban population): Q3","","The percentage of people using at least basic water services.  This indicator encompasses both people using basic water services as well as those using safely managed water services.  Basic drinking water services is defined as drinking water from an improved source, provided collection time is not more than 30 minutes for a round trip.  Improved water sources include piped water, boreholes or tubewells, protected dug wells, protected springs, and packaged or delivered water.","","Annual","","","","","","","WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply, Sanitation and Hygiene (washdata.org).","","","","","","Open",
"SH.H2O.BASW.UR.Q4.ZS","Quintile: Health","People using at least basic drinking water services, urban (% of urban population): Q4","","The percentage of people using at least basic water services.  This indicator encompasses both people using basic water services as well as those using safely managed water services.  Basic drinking water services is defined as drinking water from an improved source, provided collection time is not more than 30 minutes for a round trip.  Improved water sources include piped water, boreholes or tubewells, protected dug wells, protected springs, and packaged or delivered water.","","Annual","","","","","","","WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply, Sanitation and Hygiene (washdata.org).","","","","","","Open",
"SH.H2O.BASW.UR.Q5.ZS","Quintile: Health","People using at least basic drinking water services, urban (% of urban population): Q5 (highest)","","The percentage of people using at least basic water services.  This indicator encompasses both people using basic water services as well as those using safely managed water services.  Basic drinking water services is defined as drinking water from an improved source, provided collection time is not more than 30 minutes for a round trip.  Improved water sources include piped water, boreholes or tubewells, protected dug wells, protected springs, and packaged or delivered water.","","Annual","","","","","","","WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply, Sanitation and Hygiene (washdata.org).","","","","","","Open",
"SH.IMM.ALLV.Q1.ZS","Quintile: Health","Vaccinations (all vaccinations) (% of children ages 12-23 months): Q1 (lowest)","","Vaccinations: Percentage of children 12-23 months who have received specific vaccines by the time of the survey (according to the vaccination card or the mother's report). Children with all vaccinations refer children who have received BCG, measles, and three doses each of DPT and polio vaccine (excluding polio 0). Some MICS surveys refer children in different age groups (e.g. 18-29 months, or 15-26 months).","","Annual","","","","","","Data disaggregated by wealth quintile provide insights into health differentials by socioeconomic status and allow problems particular to the poor, such as unequal access to health care to be identified. The table shows the estimates for the poorest and richest quintiles only; the full set of estimates for up to 70 indicators is available at http://data.worldbank.org/data-catalog/healthnutrition-population-statistics. The estimates in the table are based on household survey data, which may refer to a period preceding the survey date or use a definition or methodology different from the estimates in the other tables. Thus the estimates may differ, and caution should be exercised in using the data.","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.IMM.ALLV.Q2.ZS","Quintile: Health","Vaccinations (all vaccinations) (% of children ages 12-23 months): Q2","","Vaccinations: Percentage of children 12-23 months who have received specific vaccines by the time of the survey (according to the vaccination card or the mother's report). Children with all vaccinations refer children who have received BCG, measles, and three doses each of DPT and polio vaccine (excluding polio 0). Some MICS surveys refer children in different age groups (e.g. 18-29 months, or 15-26 months).","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.IMM.ALLV.Q3.ZS","Quintile: Health","Vaccinations (all vaccinations) (% of children ages 12-23 months): Q3","","Vaccinations: Percentage of children 12-23 months who have received specific vaccines by the time of the survey (according to the vaccination card or the mother's report). Children with all vaccinations refer children who have received BCG, measles, and three doses each of DPT and polio vaccine (excluding polio 0). Some MICS surveys refer children in different age groups (e.g. 18-29 months, or 15-26 months).","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.IMM.ALLV.Q4.ZS","Quintile: Health","Vaccinations (all vaccinations) (% of children ages 12-23 months): Q4","","Vaccinations: Percentage of children 12-23 months who have received specific vaccines by the time of the survey (according to the vaccination card or the mother's report). Children with all vaccinations refer children who have received BCG, measles, and three doses each of DPT and polio vaccine (excluding polio 0). Some MICS surveys refer children in different age groups (e.g. 18-29 months, or 15-26 months).","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.IMM.ALLV.Q5.ZS","Quintile: Health","Vaccinations (all vaccinations) (% of children ages 12-23 months): Q5 (highest)","","Vaccinations: Percentage of children 12-23 months who have received specific vaccines by the time of the survey (according to the vaccination card or the mother's report). Children with all vaccinations refer children who have received BCG, measles, and three doses each of DPT and polio vaccine (excluding polio 0). Some MICS surveys refer children in different age groups (e.g. 18-29 months, or 15-26 months).","","Annual","","","","","","Data disaggregated by wealth quintile provide insights into health differentials by socioeconomic status and allow problems particular to the poor, such as unequal access to health care to be identified. The table shows the estimates for the poorest and richest quintiles only; the full set of estimates for up to 70 indicators is available at http://data.worldbank.org/data-catalog/healthnutrition-population-statistics. The estimates in the table are based on household survey data, which may refer to a period preceding the survey date or use a definition or methodology different from the estimates in the other tables. Thus the estimates may differ, and caution should be exercised in using the data.","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.IMM.IBCG.Q1.ZS","Quintile: Health","Vaccinations (BCG) (% of children ages 12-23 months): Q1 (lowest)","","Vaccinations: Percentage of children 12-23 months who have received specific vaccines by the time of the survey (according to the vaccination card or the mother's report). Children with all vaccinations refer children who have received BCG, measles, and three doses each of DPT and polio vaccine (excluding polio 0). Some MICS surveys refer children in different age groups (e.g. 18-29 months, or 15-26 months).","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.IMM.IBCG.Q2.ZS","Quintile: Health","Vaccinations (BCG) (% of children ages 12-23 months): Q2","","Vaccinations: Percentage of children 12-23 months who have received specific vaccines by the time of the survey (according to the vaccination card or the mother's report). Children with all vaccinations refer children who have received BCG, measles, and three doses each of DPT and polio vaccine (excluding polio 0). Some MICS surveys refer children in different age groups (e.g. 18-29 months, or 15-26 months).","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.IMM.IBCG.Q3.ZS","Quintile: Health","Vaccinations (BCG) (% of children ages 12-23 months): Q3","","Vaccinations: Percentage of children 12-23 months who have received specific vaccines by the time of the survey (according to the vaccination card or the mother's report). Children with all vaccinations refer children who have received BCG, measles, and three doses each of DPT and polio vaccine (excluding polio 0). Some MICS surveys refer children in different age groups (e.g. 18-29 months, or 15-26 months).","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.IMM.IBCG.Q4.ZS","Quintile: Health","Vaccinations (BCG) (% of children ages 12-23 months): Q4","","Vaccinations: Percentage of children 12-23 months who have received specific vaccines by the time of the survey (according to the vaccination card or the mother's report). Children with all vaccinations refer children who have received BCG, measles, and three doses each of DPT and polio vaccine (excluding polio 0). Some MICS surveys refer children in different age groups (e.g. 18-29 months, or 15-26 months).","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.IMM.IBCG.Q5.ZS","Quintile: Health","Vaccinations (BCG) (% of children ages 12-23 months): Q5 (highest)","","Vaccinations: Percentage of children 12-23 months who have received specific vaccines by the time of the survey (according to the vaccination card or the mother's report). Children with all vaccinations refer children who have received BCG, measles, and three doses each of DPT and polio vaccine (excluding polio 0). Some MICS surveys refer children in different age groups (e.g. 18-29 months, or 15-26 months).","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.IMM.IDPT.Q1.ZS","Quintile: Health","Vaccinations (DPT 3) (% of children ages 12-23 months): Q1 (lowest)","","Vaccinations: Percentage of children 12-23 months who have received specific vaccines by the time of the survey (according to the vaccination card or the mother's report). Children with all vaccinations refer children who have received BCG, measles, and three doses each of DPT and polio vaccine (excluding polio 0). Some MICS surveys refer children in different age groups (e.g. 18-29 months, or 15-26 months).","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.IMM.IDPT.Q2.ZS","Quintile: Health","Vaccinations (DPT 3) (% of children ages 12-23 months): Q2","","Vaccinations: Percentage of children 12-23 months who have received specific vaccines by the time of the survey (according to the vaccination card or the mother's report). Children with all vaccinations refer children who have received BCG, measles, and three doses each of DPT and polio vaccine (excluding polio 0). Some MICS surveys refer children in different age groups (e.g. 18-29 months, or 15-26 months).","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.IMM.IDPT.Q3.ZS","Quintile: Health","Vaccinations (DPT 3) (% of children ages 12-23 months): Q3","","Vaccinations: Percentage of children 12-23 months who have received specific vaccines by the time of the survey (according to the vaccination card or the mother's report). Children with all vaccinations refer children who have received BCG, measles, and three doses each of DPT and polio vaccine (excluding polio 0). Some MICS surveys refer children in different age groups (e.g. 18-29 months, or 15-26 months).","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.IMM.IDPT.Q4.ZS","Quintile: Health","Vaccinations (DPT 3) (% of children ages 12-23 months): Q4","","Vaccinations: Percentage of children 12-23 months who have received specific vaccines by the time of the survey (according to the vaccination card or the mother's report). Children with all vaccinations refer children who have received BCG, measles, and three doses each of DPT and polio vaccine (excluding polio 0). Some MICS surveys refer children in different age groups (e.g. 18-29 months, or 15-26 months).","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.IMM.IDPT.Q5.ZS","Quintile: Health","Vaccinations (DPT 3) (% of children ages 12-23 months): Q5 (highest)","","Vaccinations: Percentage of children 12-23 months who have received specific vaccines by the time of the survey (according to the vaccination card or the mother's report). Children with all vaccinations refer children who have received BCG, measles, and three doses each of DPT and polio vaccine (excluding polio 0). Some MICS surveys refer children in different age groups (e.g. 18-29 months, or 15-26 months).","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.IMM.MEAS.Q1.ZS","Quintile: Health","Vaccinations (Measles) (% of children ages 12-23 months): Q1 (lowest)","","Vaccinations: Percentage of children 12-23 months who have received specific vaccines by the time of the survey (according to the vaccination card or the mother's report). Children with all vaccinations refer children who have received BCG, measles, and three doses each of DPT and polio vaccine (excluding polio 0). Some MICS surveys refer children in different age groups (e.g. 18-29 months, or 15-26 months).","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.IMM.MEAS.Q2.ZS","Quintile: Health","Vaccinations (Measles) (% of children ages 12-23 months): Q2","","Vaccinations: Percentage of children 12-23 months who have received specific vaccines by the time of the survey (according to the vaccination card or the mother's report). Children with all vaccinations refer children who have received BCG, measles, and three doses each of DPT and polio vaccine (excluding polio 0). Some MICS surveys refer children in different age groups (e.g. 18-29 months, or 15-26 months).","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.IMM.MEAS.Q3.ZS","Quintile: Health","Vaccinations (Measles) (% of children ages 12-23 months): Q3","","Vaccinations: Percentage of children 12-23 months who have received specific vaccines by the time of the survey (according to the vaccination card or the mother's report). Children with all vaccinations refer children who have received BCG, measles, and three doses each of DPT and polio vaccine (excluding polio 0). Some MICS surveys refer children in different age groups (e.g. 18-29 months, or 15-26 months).","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.IMM.MEAS.Q4.ZS","Quintile: Health","Vaccinations (Measles) (% of children ages 12-23 months): Q4","","Vaccinations: Percentage of children 12-23 months who have received specific vaccines by the time of the survey (according to the vaccination card or the mother's report). Children with all vaccinations refer children who have received BCG, measles, and three doses each of DPT and polio vaccine (excluding polio 0). Some MICS surveys refer children in different age groups (e.g. 18-29 months, or 15-26 months).","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.IMM.MEAS.Q5.ZS","Quintile: Health","Vaccinations (Measles) (% of children ages 12-23 months): Q5 (highest)","","Vaccinations: Percentage of children 12-23 months who have received specific vaccines by the time of the survey (according to the vaccination card or the mother's report). Children with all vaccinations refer children who have received BCG, measles, and three doses each of DPT and polio vaccine (excluding polio 0). Some MICS surveys refer children in different age groups (e.g. 18-29 months, or 15-26 months).","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.IMM.NONE.Q1.ZS","Quintile: Health","Vaccinations (no vaccinations) (% of children ages 12-23 months): Q1 (lowest)","","Vaccinations: Percentage of children 12-23 months who have received specific vaccines by the time of the survey (according to the vaccination card or the mother's report). Children with all vaccinations refer children who have received BCG, measles, and three doses each of DPT and polio vaccine (excluding polio 0). Some MICS surveys refer children in different age groups (e.g. 18-29 months, or 15-26 months).","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.IMM.NONE.Q2.ZS","Quintile: Health","Vaccinations (no vaccinations) (% of children ages 12-23 months): Q2","","Vaccinations: Percentage of children 12-23 months who have received specific vaccines by the time of the survey (according to the vaccination card or the mother's report). Children with all vaccinations refer children who have received BCG, measles, and three doses each of DPT and polio vaccine (excluding polio 0). Some MICS surveys refer children in different age groups (e.g. 18-29 months, or 15-26 months).","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.IMM.NONE.Q3.ZS","Quintile: Health","Vaccinations (no vaccinations) (% of children ages 12-23 months): Q3","","Vaccinations: Percentage of children 12-23 months who have received specific vaccines by the time of the survey (according to the vaccination card or the mother's report). Children with all vaccinations refer children who have received BCG, measles, and three doses each of DPT and polio vaccine (excluding polio 0). Some MICS surveys refer children in different age groups (e.g. 18-29 months, or 15-26 months).","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.IMM.NONE.Q4.ZS","Quintile: Health","Vaccinations (no vaccinations) (% of children ages 12-23 months): Q4","","Vaccinations: Percentage of children 12-23 months who have received specific vaccines by the time of the survey (according to the vaccination card or the mother's report). Children with all vaccinations refer children who have received BCG, measles, and three doses each of DPT and polio vaccine (excluding polio 0). Some MICS surveys refer children in different age groups (e.g. 18-29 months, or 15-26 months).","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.IMM.NONE.Q5.ZS","Quintile: Health","Vaccinations (no vaccinations) (% of children ages 12-23 months): Q5 (highest)","","Vaccinations: Percentage of children 12-23 months who have received specific vaccines by the time of the survey (according to the vaccination card or the mother's report). Children with all vaccinations refer children who have received BCG, measles, and three doses each of DPT and polio vaccine (excluding polio 0). Some MICS surveys refer children in different age groups (e.g. 18-29 months, or 15-26 months).","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.MLR.NETA.Q1.ZS","Quintile: Health","Mosquito net use by children (any mosquito net) (% of children under 5): Q1 (lowest)","","Mosquito net use by children: Percentage of children under age five years who slept under any mosquito net (treated or untreated), and an insecticide-treated net (ITN) the night before the survey.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.MLR.NETA.Q2.ZS","Quintile: Health","Mosquito net use by children (any mosquito net) (% of children under 5): Q2","","Mosquito net use by children: Percentage of children under age five years who slept under any mosquito net (treated or untreated), and an insecticide-treated net (ITN) the night before the survey.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.MLR.NETA.Q3.ZS","Quintile: Health","Mosquito net use by children (any mosquito net) (% of children under 5): Q3","","Mosquito net use by children: Percentage of children under age five years who slept under any mosquito net (treated or untreated), and an insecticide-treated net (ITN) the night before the survey.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.MLR.NETA.Q4.ZS","Quintile: Health","Mosquito net use by children (any mosquito net) (% of children under 5): Q4","","Mosquito net use by children: Percentage of children under age five years who slept under any mosquito net (treated or untreated), and an insecticide-treated net (ITN) the night before the survey.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.MLR.NETA.Q5.ZS","Quintile: Health","Mosquito net use by children (any mosquito net) (% of children under 5): Q5 (highest)","","Mosquito net use by children: Percentage of children under age five years who slept under any mosquito net (treated or untreated), and an insecticide-treated net (ITN) the night before the survey.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.MLR.NETH.Q1.ZS","Quintile: Health","Household possession of mosquito nets (any type of mosquito net) (% of households): Q1 (lowest)","","Household possession of mosquito nets: Percentage of households with at least one any type of mosquito net (treated or untreated), and insecticide-treated net (ITN).","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.MLR.NETH.Q2.ZS","Quintile: Health","Household possession of mosquito nets (any type of mosquito net) (% of households): Q2","","Household possession of mosquito nets: Percentage of households with at least one any type of mosquito net (treated or untreated), and insecticide-treated net (ITN).","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.MLR.NETH.Q3.ZS","Quintile: Health","Household possession of mosquito nets (any type of mosquito net) (% of households): Q3","","Household possession of mosquito nets: Percentage of households with at least one any type of mosquito net (treated or untreated), and insecticide-treated net (ITN).","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.MLR.NETH.Q4.ZS","Quintile: Health","Household possession of mosquito nets (any type of mosquito net) (% of households): Q4","","Household possession of mosquito nets: Percentage of households with at least one any type of mosquito net (treated or untreated), and insecticide-treated net (ITN).","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.MLR.NETH.Q5.ZS","Quintile: Health","Household possession of mosquito nets (any type of mosquito net) (% of households): Q5 (highest)","","Household possession of mosquito nets: Percentage of households with at least one any type of mosquito net (treated or untreated), and insecticide-treated net (ITN).","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.MLR.NETP.Q1.ZS","Quintile: Health","Mosquito net use by pregnant women (any mosquito net) (% of pregnant women): Q1 (lowest)","","Mosquito net use by pregnant women: Percentage of pregnant women who slept under any mosquito net (treated or untreated), and an insecticide-treated net (ITN) the night before the survey.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.MLR.NETP.Q2.ZS","Quintile: Health","Mosquito net use by pregnant women (any mosquito net) (% of pregnant women): Q2","","Mosquito net use by pregnant women: Percentage of pregnant women who slept under any mosquito net (treated or untreated), and an insecticide-treated net (ITN) the night before the survey.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.MLR.NETP.Q3.ZS","Quintile: Health","Mosquito net use by pregnant women (any mosquito net) (% of pregnant women): Q3","","Mosquito net use by pregnant women: Percentage of pregnant women who slept under any mosquito net (treated or untreated), and an insecticide-treated net (ITN) the night before the survey.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.MLR.NETP.Q4.ZS","Quintile: Health","Mosquito net use by pregnant women (any mosquito net) (% of pregnant women): Q4","","Mosquito net use by pregnant women: Percentage of pregnant women who slept under any mosquito net (treated or untreated), and an insecticide-treated net (ITN) the night before the survey.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.MLR.NETP.Q5.ZS","Quintile: Health","Mosquito net use by pregnant women (any mosquito net) (% of pregnant women): Q5 (highest)","","Mosquito net use by pregnant women: Percentage of pregnant women who slept under any mosquito net (treated or untreated), and an insecticide-treated net (ITN) the night before the survey.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
